word 	 start 	 end 	 duration 	 confidence 	 file 
he 	 89.5 	 89.54 	 0.04000000000000625 	 0.972 	  Main1 
took 	 89.54 	 89.74 	 0.19999999999998863 	 0.999 	  Main1 
them 	 89.74 	 89.94 	 0.20000000000000284 	 0.998 	  Main1 
off 	 89.94 	 90.16 	 0.21999999999999886 	 0.999 	  Main1 
again. 	 90.16 	 90.54 	 0.38000000000000966 	 0.998 	  Main1 
Pick 	 90.76 	 91.14 	 0.37999999999999545 	 0.739 	  Main1 
it 	 91.14 	 91.34 	 0.20000000000000284 	 0.992 	  Main1 
up, 	 91.34 	 91.52 	 0.1799999999999926 	 0.995 	  Main1 
brother. 	 91.6 	 91.78 	 0.18000000000000682 	 0.844 	  Main1 
Snap 	 92.58 	 92.86 	 0.28000000000000114 	 0.759 	  Main1 
to 	 92.86 	 93.08 	 0.21999999999999886 	 0.903 	  Main1 
cop 	 93.08 	 93.32 	 0.23999999999999488 	 0.739 	  Main1 
as 	 93.32 	 93.52 	 0.20000000000000284 	 0.939 	  Main1 
the 	 93.52 	 93.68 	 0.1600000000000108 	 0.998 	  Main1 
light 	 93.68 	 93.88 	 0.19999999999998863 	 0.997 	  Main1 
changed 	 93.88 	 94.4 	 0.5200000000000102 	 0.994 	  Main1 
and 	 94.4 	 95.12 	 0.7199999999999989 	 0.433 	  Main1 
Michael 	 95.12 	 95.46 	 0.3399999999999892 	 0.983 	  Main1 
hastily 	 95.46 	 95.96 	 0.5 	 0.985 	  Main1 
pulled 	 95.96 	 96.28 	 0.3200000000000074 	 0.979 	  Main1 
on 	 96.28 	 96.46 	 0.1799999999999926 	 0.99 	  Main1 
his 	 96.46 	 96.66 	 0.20000000000000284 	 0.995 	  Main1 
gloves 	 96.66 	 97 	 0.3400000000000034 	 0.995 	  Main1 
and 	 97 	 97.3 	 0.29999999999999716 	 0.95 	  Main1 
lurched 	 97.3 	 97.7 	 0.4000000000000057 	 0.713 	  Main1 
ahead. 	 97.7 	 97.98 	 0.28000000000000114 	 0.861 	  Main1 
He 	 98.38 	 98.62 	 0.2400000000000091 	 0.991 	  Main1 
drove 	 98.62 	 98.88 	 0.2599999999999909 	 0.997 	  Main1 
around 	 98.88 	 99.16 	 0.28000000000000114 	 0.998 	  Main1 
the 	 99.16 	 99.32 	 0.1599999999999966 	 0.997 	  Main1 
streets 	 99.32 	 99.68 	 0.36000000000001364 	 0.986 	  Main1 
aimlessly 	 99.68 	 100.26 	 0.5799999999999983 	 0.985 	  Main1 
for 	 100.26 	 100.48 	 0.21999999999999886 	 0.998 	  Main1 
a 	 100.48 	 100.68 	 0.20000000000000284 	 0.978 	  Main1 
time 	 100.68 	 101.12 	 0.4399999999999977 	 0.998 	  Main1 
and 	 101.12 	 101.52 	 0.3999999999999915 	 0.595 	  Main1 
then 	 101.52 	 101.72 	 0.20000000000000284 	 0.985 	  Main1 
he 	 101.72 	 101.94 	 0.21999999999999886 	 0.989 	  Main1 
drove 	 101.94 	 102.12 	 0.18000000000000682 	 0.998 	  Main1 
past 	 102.12 	 102.48 	 0.35999999999999943 	 0.968 	  Main1 
the 	 102.48 	 102.64 	 0.1599999999999966 	 0.979 	  Main1 
hospital 	 102.64 	 103.06 	 0.4200000000000017 	 0.98 	  Main1 
on 	 103.06 	 103.3 	 0.23999999999999488 	 0.822 	  Main1 
his 	 103.3 	 103.48 	 0.18000000000000682 	 0.749 	  Main1 
way 	 103.48 	 103.66 	 0.1799999999999926 	 0.823 	  Main1 
to 	 103.66 	 103.82 	 0.1599999999999966 	 0.985 	  Main1 
the 	 103.82 	 103.94 	 0.12000000000000455 	 0.996 	  Main1 
parking 	 103.94 	 104.26 	 0.3200000000000074 	 0.997 	  Main1 
lot. 	 104.26 	 104.58 	 0.3199999999999932 	 0.997 	  Main1 
Back 	 1.1 	 1.34 	 0.24 	 0.626 	  Main2 
it 	 1.34 	 1.54 	 0.19999999999999996 	 0.955 	  Main2 
up, 	 1.54 	 1.74 	 0.19999999999999996 	 0.995 	  Main2 
Mac. 	 1.9 	 2.06 	 0.16000000000000014 	 0.441 	  Main2 
Look 	 2.58 	 2.76 	 0.17999999999999972 	 0.481 	  Main2 
out 	 2.76 	 3.06 	 0.30000000000000027 	 0.972 	  Main2 
for 	 3.06 	 3.2 	 0.14000000000000012 	 0.997 	  Main2 
that 	 3.2 	 3.42 	 0.21999999999999975 	 0.993 	  Main2 
viewic. 	 3.42 	 4.1 	 0.6799999999999997 	 0.265 	  Main2 
Michael 	 4.4 	 4.64 	 0.23999999999999932 	 0.816 	  Main2 
Smith 	 4.64 	 5.06 	 0.41999999999999993 	 0.936 	  Main2 
jammed 	 5.06 	 5.58 	 0.5200000000000005 	 0.847 	  Main2 
on 	 5.58 	 5.8 	 0.21999999999999975 	 0.97 	  Main2 
the 	 5.8 	 5.94 	 0.14000000000000057 	 0.982 	  Main2 
brakes. 	 5.94 	 6.32 	 0.3799999999999999 	 0.707 	  Main2 
Wrong 	 6.8 	 7.22 	 0.41999999999999993 	 0.843 	  Main2 
lane, 	 7.22 	 7.48 	 0.2600000000000007 	 0.635 	  Main2 
Mac. 	 7.92 	 8.16 	 0.2400000000000002 	 0.99 	  Main2 
Said 	 8.44 	 8.58 	 0.14000000000000057 	 0.741 	  Main2 
the 	 8.58 	 8.7 	 0.11999999999999922 	 0.992 	  Main2 
parking 	 8.7 	 8.98 	 0.28000000000000114 	 0.999 	  Main2 
lot 	 8.98 	 9.22 	 0.2400000000000002 	 0.997 	  Main2 
attendant. 	 9.22 	 9.64 	 0.41999999999999993 	 0.926 	  Main2 
Looking 	 10.18 	 10.46 	 0.28000000000000114 	 0.696 	  Main2 
at 	 10.46 	 10.68 	 0.21999999999999886 	 0.976 	  Main2 
Michael 	 10.68 	 10.94 	 0.2599999999999998 	 0.93 	  Main2 
closely. 	 10.94 	 11.38 	 0.4400000000000013 	 0.968 	  Main2 
Gee. 	 11.92 	 12.48 	 0.5600000000000005 	 0.742 	  Main2 
Yeah. 	 12.82 	 13.48 	 0.6600000000000001 	 0.904 	  Main2 
Muddered, 	 13.68 	 14.08 	 0.40000000000000036 	 0.503 	  Main2 
Michael. 	 14.32 	 14.48 	 0.16000000000000014 	 0.98 	  Main2 
He 	 14.96 	 15.14 	 0.17999999999999972 	 0.89 	  Main2 
began 	 15.14 	 15.42 	 0.27999999999999936 	 0.998 	  Main2 
cautiously 	 15.42 	 16.08 	 0.6599999999999984 	 0.971 	  Main2 
to 	 16.08 	 16.32 	 0.240000000000002 	 0.96 	  Main2 
back 	 16.32 	 16.54 	 0.21999999999999886 	 0.96 	  Main2 
out 	 16.54 	 16.76 	 0.22000000000000242 	 0.988 	  Main2 
of 	 16.76 	 16.98 	 0.21999999999999886 	 0.972 	  Main2 
the 	 16.98 	 17.08 	 0.09999999999999787 	 0.985 	  Main2 
lane 	 17.08 	 17.28 	 0.20000000000000284 	 0.962 	  Main2 
marked. 	 17.28 	 17.94 	 0.6600000000000001 	 0.788 	  Main2 
Exit 	 18.12 	 18.56 	 0.4399999999999977 	 0.854 	  Main2 
only. 	 18.56 	 19 	 0.4400000000000013 	 0.872 	  Main2 
Leave 	 19.5 	 19.74 	 0.23999999999999844 	 0.751 	  Main2 
her 	 19.74 	 20 	 0.26000000000000156 	 0.993 	  Main2 
sit 	 20 	 20.2 	 0.1999999999999993 	 0.984 	  Main2 
there. 	 20.2 	 20.68 	 0.4800000000000004 	 0.996 	  Main2 
Said 	 20.98 	 21.16 	 0.17999999999999972 	 0.914 	  Main2 
the 	 21.16 	 21.3 	 0.14000000000000057 	 0.99 	  Main2 
attendant. 	 21.3 	 21.7 	 0.3999999999999986 	 0.997 	  Main2 
I'll 	 22.18 	 22.48 	 0.3000000000000007 	 0.772 	  Main2 
put 	 22.48 	 22.64 	 0.16000000000000014 	 0.997 	  Main2 
her 	 22.64 	 22.92 	 0.28000000000000114 	 0.995 	  Main2 
away. 	 22.92 	 23.24 	 0.31999999999999673 	 0.994 	  Main2 
Michael 	 23.66 	 24.04 	 0.379999999999999 	 0.579 	  Main2 
got 	 24.04 	 24.32 	 0.28000000000000114 	 0.991 	  Main2 
out 	 24.32 	 24.58 	 0.259999999999998 	 0.997 	  Main2 
of 	 24.58 	 24.68 	 0.10000000000000142 	 0.992 	  Main2 
the 	 24.68 	 24.9 	 0.21999999999999886 	 0.997 	  Main2 
car. 	 24.9 	 25.24 	 0.33999999999999986 	 0.999 	  Main2 
Hey. 	 25.64 	 26 	 0.35999999999999943 	 0.774 	  Main2 
Better 	 26.5 	 26.74 	 0.23999999999999844 	 0.85 	  Main2 
leave 	 26.74 	 27 	 0.26000000000000156 	 0.99 	  Main2 
the 	 27 	 27.22 	 0.21999999999999886 	 0.988 	  Main2 
key. 	 27.22 	 27.64 	 0.4200000000000017 	 0.989 	  Main2 
Oh. 	 28.06 	 28.48 	 0.4200000000000017 	 0.926 	  Main2 
Said 	 28.9 	 29.06 	 0.16000000000000014 	 0.958 	  Main2 
Michael, 	 29.06 	 29.46 	 0.40000000000000213 	 0.879 	  Main2 
handing 	 29.76 	 30.04 	 0.2799999999999976 	 0.967 	  Main2 
